-0.35000000000000003 1 
-0.25 0 
-0.15000000000000002 0 
-0.04999999999999999 0 
0.04999999999999999 0 
0.15000000000000002 0 
0.25 0 
0.35 0 
0.45000000000000007 0 
0.55 0 
0.65 0 
0.7500000000000001 1 
0.85 0 
0.9500000000000001 3 
1.0500000000000003 0 
1.15 3 
1.25 4 
1.35 6 
1.4500000000000002 5 
1.5500000000000003 7 
1.6500000000000004 13 
1.75 6 
1.85 20 
1.9500000000000002 19 
2.0500000000000003 13 
2.1500000000000004 25 
2.2500000000000004 28 
2.35 34 
2.45 28 
2.5500000000000003 47 
2.6500000000000004 50 
2.7500000000000004 51 
2.85 61 
2.95 69 
3.0500000000000003 77 
3.1500000000000004 84 
3.2500000000000004 88 
3.35 92 
3.45 103 
3.5500000000000003 110 
3.65 100 
3.7500000000000004 101 
3.85 122 
3.9500000000000006 127 
4.05 116 
4.1499999999999995 117 
4.25 113 
4.35 118 
4.45 99 
4.55 101 
4.65 114 
4.75 89 
4.85 75 
4.95 58 
5.05 60 
5.15 47 
5.25 30 
5.35 35 
5.45 32 
5.55 22 
5.65 14 
5.75 14 
5.85 13 
5.95 14 
6.05 9 
6.15 5 
6.25 2 
6.35 4 
6.45 1 
