        79 MEMB     1        POPC     C215     CTL2    -0.180000       12.0110           0
        80 MEMB     1        POPC     H15R     HAL2     0.900000E-01   1.00800           0
        81 MEMB     1        POPC     H15S     HAL2     0.900000E-01   1.00800           0
        82 MEMB     1        POPC     C216     CTL2    -0.180000       12.0110           0
        83 MEMB     1        POPC     H16R     HAL2     0.900000E-01   1.00800           0
        84 MEMB     1        POPC     H16S     HAL2     0.900000E-01   1.00800           0
        85 MEMB     1        POPC     C217     CTL2    -0.180000       12.0110           0
        86 MEMB     1        POPC     H17R     HAL2     0.900000E-01   1.00800           0
        87 MEMB     1        POPC     H17S     HAL2     0.900000E-01   1.00800           0
        88 MEMB     1        POPC     C218     CTL3    -0.270000       12.0110           0
        89 MEMB     1        POPC     H18R     HAL3     0.900000E-01   1.00800           0
        90 MEMB     1        POPC     H18S     HAL3     0.900000E-01   1.00800           0
        91 MEMB     1        POPC     H18T     HAL3     0.900000E-01   1.00800           0
        92 MEMB     1        POPC     C33      CTL2    -0.180000       12.0110           0
        93 MEMB     1        POPC     H3X      HAL2     0.900000E-01   1.00800           0
        94 MEMB     1        POPC     H3Y      HAL2     0.900000E-01   1.00800           0
        95 MEMB     1        POPC     C34      CTL2    -0.180000       12.0110           0
        96 MEMB     1        POPC     H4X      HAL2     0.900000E-01   1.00800           0
        97 MEMB     1        POPC     H4Y      HAL2     0.900000E-01   1.00800           0
        98 MEMB     1        POPC     C35      CTL2    -0.180000       12.0110           0
        99 MEMB     1        POPC     H5X      HAL2     0.900000E-01   1.00800           0
       100 MEMB     1        POPC     H5Y      HAL2     0.900000E-01   1.00800           0
       101 MEMB     1        POPC     C36      CTL2    -0.180000       12.0110           0
       102 MEMB     1        POPC     H6X      HAL2     0.900000E-01   1.00800           0
       103 MEMB     1        POPC     H6Y      HAL2     0.900000E-01   1.00800           0
       104 MEMB     1        POPC     C37      CTL2    -0.180000       12.0110           0
       105 MEMB     1        POPC     H7X      HAL2     0.900000E-01   1.00800           0
       106 MEMB     1        POPC     H7Y      HAL2     0.900000E-01   1.00800           0
       107 MEMB     1        POPC     C38      CTL2    -0.180000       12.0110           0
       108 MEMB     1        POPC     H8X      HAL2     0.900000E-01   1.00800           0
       109 MEMB     1        POPC     H8Y      HAL2     0.900000E-01   1.00800           0
       110 MEMB     1        POPC     C39      CTL2    -0.180000       12.0110           0
       111 MEMB     1        POPC     H9X      HAL2     0.900000E-01   1.00800           0
       112 MEMB     1        POPC     H9Y      HAL2     0.900000E-01   1.00800           0
       113 MEMB     1        POPC     C310     CTL2    -0.180000       12.0110           0
       114 MEMB     1        POPC     H10X     HAL2     0.900000E-01   1.00800           0
       115 MEMB     1        POPC     H10Y     HAL2     0.900000E-01   1.00800           0
       116 MEMB     1        POPC     C311     CTL2    -0.180000       12.0110           0
       117 MEMB     1        POPC     H11X     HAL2     0.900000E-01   1.00800           0
       118 MEMB     1        POPC     H11Y     HAL2     0.900000E-01   1.00800           0
       119 MEMB     1        POPC     C312     CTL2    -0.180000       12.0110           0
       120 MEMB     1        POPC     H12X     HAL2     0.900000E-01   1.00800           0
       121 MEMB     1        POPC     H12Y     HAL2     0.900000E-01   1.00800           0
       122 MEMB     1        POPC     C313     CTL2    -0.180000       12.0110           0
       123 MEMB     1        POPC     H13X     HAL2     0.900000E-01   1.00800           0
       124 MEMB     1        POPC     H13Y     HAL2     0.900000E-01   1.00800           0
       125 MEMB     1        POPC     C314     CTL2    -0.180000       12.0110           0
       126 MEMB     1        POPC     H14X     HAL2     0.900000E-01   1.00800           0
       127 MEMB     1        POPC     H14Y     HAL2     0.900000E-01   1.00800           0
       128 MEMB     1        POPC     C315     CTL2    -0.180000       12.0110           0
       129 MEMB     1        POPC     H15X     HAL2     0.900000E-01   1.00800           0
       130 MEMB     1        POPC     H15Y     HAL2     0.900000E-01   1.00800           0
       131 MEMB     1        POPC     C316     CTL3    -0.270000       12.0110           0
       132 MEMB     1        POPC     H16X     HAL3     0.900000E-01   1.00800           0
       133 MEMB     1        POPC     H16Y     HAL3     0.900000E-01   1.00800           0
       134 MEMB     1        POPC     H16Z     HAL3     0.900000E-01   1.00800           0
       135 MEMB     2        POPG     C13      CTL2     0.500000E-01   12.0110           0
       136 MEMB     2        POPG     H13A     HAL2     0.900000E-01   1.00800           0
       137 MEMB     2        POPG     H13B     HAL2     0.900000E-01   1.00800           0
