0 8249.7811 30334.8412 25806.1270 -426881.0349 16871.9336 0.0000 94692.9708 -249997.1500 303.6076 -344690.1208 303.6076 -78.7403 1409445.0882 
5000 8152.6823 30270.2528 25842.1579 -426660.7518 16809.4136 0.0000 94414.4948 -250174.5033 302.7148 -344588.9981 302.2721 13.5734 1408814.7958 
10000 8294.2946 30224.4902 25857.7947 -426700.0421 16955.1354 0.0000 94314.6359 -250111.8209 302.3946 -344426.4569 302.3435 -11.9870 1409936.6433 
15000 8276.6155 30284.7995 26013.2452 -427270.9863 17219.0343 0.0000 93980.1430 -250528.0470 301.3221 -344508.1899 302.3696 -31.1808 1410054.5705 
20000 8191.0679 30091.7529 25962.5090 -426827.1342 16702.3864 0.0000 94043.9277 -250883.7873 301.5266 -344927.7150 301.9068 -23.9412 1407456.2818 
25000 8237.3463 30256.8424 25875.5249 -426789.9383 16882.7502 0.0000 94701.3439 -249869.5203 303.6345 -344570.8642 302.5463 21.6829 1407101.9222 
30000 8236.0222 30292.9123 25866.1370 -427466.5235 17227.6736 0.0000 94011.2801 -250839.2159 301.4220 -344850.4960 302.0253 161.6875 1407619.4561 
35000 8370.9562 30374.4176 25892.3899 -426434.1489 16748.0794 0.0000 94787.0937 -249290.5227 303.9094 -344077.6164 302.0458 -136.5770 1411824.9264 
40000 8261.1369 30191.1737 25922.1183 -426776.1876 16978.7717 0.0000 94246.4042 -250169.9848 302.1758 -344416.3890 303.2403 -14.6203 1407515.4766 
45000 8229.2468 30356.3277 25823.2898 -427816.9197 17388.1941 0.0000 94298.5614 -250744.8501 302.3430 -345043.4115 302.0878 36.1383 1407963.4793 
50000 8129.9061 30551.7481 25816.6967 -427206.1115 17159.0265 0.0000 94486.5291 -250100.0600 302.9457 -344586.5891 302.6688 17.7513 1407180.8428 
55000 8371.0854 30272.4476 25838.7287 -426973.3939 17260.9482 0.0000 93898.9910 -250333.7349 301.0619 -344232.7259 302.7586 -205.5340 1411423.8615 
60000 8277.2429 30108.0627 25868.8468 -427185.1631 17049.9778 0.0000 94509.2890 -250436.4472 303.0187 -344945.7362 302.0237 -66.5737 1408751.0283 
65000 8245.2179 30414.9582 25927.2948 -426288.4222 16991.6104 0.0000 94512.4531 -249257.8614 303.0288 -343770.3145 302.5197 -61.5247 1408061.3092 
70000 8435.8947 30141.2890 25878.4665 -427184.9441 17395.5387 0.0000 94563.9930 -249817.1439 303.1941 -344381.1369 302.8477 -161.0007 1413287.1488 
75000 8323.5756 30362.3021 25942.0975 -426018.9959 16254.9244 0.0000 94410.0971 -249796.7344 302.7007 -344206.8315 302.9409 -429.9452 1409658.0459 
80000 8345.6308 30341.7004 25863.1183 -426068.3904 16835.5437 0.0000 94417.7057 -249326.4010 302.7251 -343744.1067 302.7812 -116.7216 1412132.4691 
85000 8314.7833 30294.8103 25784.9656 -426145.7169 16494.1034 0.0000 94648.9063 -249675.8307 303.4663 -344324.7370 302.8432 -185.5580 1409647.7870 
90000 8309.9478 30270.0195 25925.5865 -427403.3242 17255.1699 0.0000 94080.1940 -250618.1618 301.6429 -344698.3559 302.6796 -24.9641 1412047.2590 
95000 8208.5980 30570.8758 25813.0361 -426893.1147 16892.6401 0.0000 94125.1654 -250361.9964 301.7871 -344487.1618 302.2167 107.8993 1409151.0952 
100000 8311.3073 30386.7153 25754.2102 -427503.1131 17379.5244 0.0000 94420.3469 -250314.8903 302.7335 -344735.2372 302.5110 148.9941 1407573.7244 
