,PE_to_PC,PE_to_PC,PC_to_PG,PC_to_PG,PE_to_PG,PE_to_PG
,,,,,,
,f,errors,f,errors,f,errors
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008333,3.053904639889606,0.02217350104844251,2.8169832228033513,0.021726028264656777,2.8809590975741552,0.020162569086486396
0.016667,5.871420352706535,0.037319948454383675,5.576220154528459,0.029579646798948547,5.592801843367443,0.030181840528040047
0.025,8.280514460625522,0.05557641404424229,7.921360975783543,0.07941309547706549,7.960571523257209,0.03579525794570257
0.033333,10.54015683360163,0.06286502901628953,10.682237265268704,0.10082838815387711,10.103041930624379,0.04613170043464565
0.041667,12.80031823866383,0.0705462541743933,12.98320838031337,0.11068501179692794,12.314841671100723,0.06864744582997549
0.05,14.736874254287734,0.08090522586983713,14.703551301678344,0.1142168867987069,14.233644576782357,0.08182443145689472
0.058333,16.4563804729366,0.08875976174716722,16.272744659577306,0.11831786188593844,16.01996871949752,0.0910107738256735
0.066667,17.947938723939266,0.0922720932668402,17.1818755447914,0.1241038061184056,17.61981313746357,0.0945982257368086
0.075,19.428949568254808,0.09490701709412044,18.090622095568847,0.12452197606582587,19.27230528154204,0.09744306487345726
0.083333,20.96247244779521,0.096922463159595,19.011421003217237,0.12481659222804452,20.83084242054403,0.10190767828030135
0.091667,22.54342836350541,0.09801968986603678,20.304832348527214,0.12985779154252836,22.389689977146414,0.10654796162394117
0.1,23.935760147376353,0.09896223140096261,21.6171488332619,0.13114765414106996,23.792383981814453,0.11085827666053281
0.108333,25.299556752969036,0.09973107210472443,22.874853290379843,0.13189189625430847,25.169028854269406,0.1142470009139096
0.116667,26.619478808079766,0.10098681681146768,24.07329117826112,0.13300687858022614,26.49518261369287,0.11659767967663959
0.125,27.78410545224892,0.1023133905758323,25.052602075915434,0.13497851018179144,27.76632856833935,0.12119142362199686
0.133333,28.923771872853017,0.10344029627023354,25.874848040756486,0.13639714519023252,29.006101206439915,0.12268755127286012
0.141667,30.058490333744462,0.10528736750754195,26.724490545560226,0.13759910811199336,30.251383236119604,0.12371956372832628
0.15,30.89410400935902,0.10639783359713118,27.35323135267526,0.1388200626358894,31.267886354205523,0.1251337117426042
0.158333,31.834615486570204,0.10739672939731053,27.982424310757263,0.14032865655454993,32.369550808876475,0.12744900762010064
