,PE_to_PC,PE_to_PC,PE_to_PC,PE_to_PC,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG
,,,,,,,,,,,,
,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error
0,9.593733944853478,0.7003832405754125,7.8233798659919564,0.6913153371984259,-38.397618497579714,0.6953484597957061,-39.16949804761332,0.6655802682912209,-30.553805074840472,0.7313311183070569,-28.867981344366513,0.7552122396150207
1,9.184840329733905,0.5438976388878011,7.1984394044526585,0.5600249818164045,-38.64334898164813,0.5026892694846726,-38.89823816047642,0.49454886303854784,-29.22591649336224,0.565680102364186,-28.176166064486843,0.5746117883453853
2,9.123259557936985,0.47650545456003074,7.432313137235761,0.4764322745757457,-38.783972786753694,0.411589953928837,-38.37426544327494,0.4252643999691909,-28.344300613533726,0.47469105060348893,-28.160712577561068,0.4718633900090379
3,9.41520933710777,0.41602750192002286,8.434605538084734,0.4232140891596363,-38.96674301005858,0.3656165519871614,-38.90303785580869,0.36681491536506217,-28.709114339657106,0.42573741120517705,-27.976381965051942,0.42014358274550007
4,9.310840464974563,0.3659616565595149,8.787396924265114,0.3739713840600656,-39.030596900503234,0.3293469688629808,-38.97490061782232,0.33280301547744884,-28.303836503606483,0.3877229956583623,-27.860605657892435,0.3812816289984562
5,9.579032357708316,0.33474052904264845,8.842909899782136,0.34052497488776046,-38.99614369186257,0.301791657209176,-38.9256169101009,0.3067246964450958,-28.146661571021944,0.35284923976446037,-27.804163663219974,0.34990569192619075
6,9.777931834193778,0.31359467320732254,8.95781374889149,0.3200345010247826,-39.17987809271674,0.27954937827412096,-39.06584900840174,0.2851128519650751,-27.955194835191822,0.32866328259653116,-27.817997610475174,0.3296189052843758
7,9.386889284242029,0.30637886929211483,9.07152527310722,0.3006595635574338,-38.969501333479265,0.2660572621648531,-38.985363941753874,0.26624401295349354,-27.932745680990575,0.3068085881730527,-27.77355710973427,0.3082967173223602
8,9.260386880775322,0.28986390324793954,9.002837145982664,0.2844784198869424,-38.9305276632644,0.2510739892880049,-39.077514807513964,0.2500429850615216,-27.99559984610282,0.2911777252152431,-27.843904812688372,0.2907766220834133
9,9.0576616370433,0.27353897210984013,9.0576616370433,0.27353897210984013,-38.963687292376456,0.24038212529847866,-38.963687292376456,0.24038212529847866,-28.007292788747304,0.28024257090510185,-28.007292788747304,0.28024257090510185
