,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG
,PC_to_PE_111,PC_to_PE_111,PC_to_PE_111,PC_to_PE_111,PC_to_PE_32,PC_to_PE_32,PC_to_PE_32,PC_to_PE_32,PC_to_PE_69,PC_to_PE_69,PC_to_PE_69,PC_to_PE_69,PC_to_PE_9,PC_to_PE_9,PC_to_PE_9,PC_to_PE_9,PC_to_PE_84,PC_to_PE_84,PC_to_PE_84,PC_to_PE_84,PC_to_PG_22,PC_to_PG_22,PC_to_PG_22,PC_to_PG_22,PC_to_PG_115,PC_to_PG_115,PC_to_PG_115,PC_to_PG_115,PC_to_PG_62,PC_to_PG_62,PC_to_PG_62,PC_to_PG_62,PC_to_PG_95,PC_to_PG_95,PC_to_PG_95,PC_to_PG_95,PC_to_PG_5,PC_to_PG_5,PC_to_PG_5,PC_to_PG_5,PE_to_PG_18,PE_to_PG_18,PE_to_PG_18,PE_to_PG_18,PE_to_PG_104,PE_to_PG_104,PE_to_PG_104,PE_to_PG_104,PE_to_PG_71,PE_to_PG_71,PE_to_PG_71,PE_to_PG_71,PE_to_PG_47,PE_to_PG_47,PE_to_PG_47,PE_to_PG_47,PE_to_PG_1,PE_to_PG_1,PE_to_PG_1,PE_to_PG_1
,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error
0,3.1009008488695695,1.2056223694117614,2.9321672101003298,1.0766743953029554,4.549824370825453,1.0961023863605552,1.254709736635979,1.1054824333230135,-2.771599453374451,1.0417394426030389,0.3070189390410185,1.0625163036747811,-0.5175393845894813,0.9177186486851303,2.6156119885368465,0.9631211869355973,-0.39828335250557423,1.076304482270741,2.771641047957612,0.9399547441099616,-27.396471286253504,1.2618170767109933,-28.565106440866142,1.1159894314633034,-24.29950527571374,1.1865794914472894,-27.530518423718352,1.049508249853362,-29.816494826747576,0.9578467736326897,-30.65935207863794,0.9564240563025705,-24.071037304378635,1.0677255821639937,-21.91282989714022,0.9750705788462493,-20.941863613154272,1.3192492562422977,-24.85324024093162,1.1210347711747717,-24.974582478981322,1.1235904166195858,-30.312194962991473,0.8545492328558186,-30.65694292660694,1.069850185589476,-27.795753780018376,1.2152846633009564,-28.928072589969638,1.2419985345554936,-32.76389154473727,1.1215869123923048,-25.530701478739626,1.0083157147610884,-25.6058428632804,0.9489912306700163,-30.171639523375994,1.1290678443583555,-31.26057449499399,1.0911392308542387
1,2.875371454168647,0.9636589193672556,0.37435445492869057,0.8646258908454995,3.028704534999868,0.8240595530670058,1.6592395638865547,0.7997453549425538,-1.2813958173469402,0.7673791981853604,0.16490236880023623,0.7504182988184208,-0.5707482308450498,0.7308230087937102,3.9435859312839785,0.6723147109491566,1.5471406984683327,0.7492048146680226,3.2596664928071952,0.736834240369198,-26.56632697323269,0.868094763048713,-27.489618593707778,0.8599814231154138,-24.08579315211684,0.8243207231222806,-28.41960719110549,0.794916064117931,-29.591281613339692,0.6974687416863296,-30.097809160743115,0.7088012022404439,-23.87806075983271,0.7295363326668137,-22.966135024696,0.7341778310993193,-23.102910408400156,0.9411598494486062,-23.87955364422467,0.8659272375489491,-26.867496459791745,0.7716896773300841,-29.918790242318224,0.6348980357487353,-29.791516561678232,0.8119187655051973,-28.51948359637554,0.8570989918500725,-30.532595129457846,0.9584152372332646,-31.691864265103405,0.834177217256048,-26.100872410186525,0.7498864591594037,-25.05578462020926,0.7078848627467705,-29.766914378965176,0.9365905106574313,-30.195886093852586,0.8200290242048363
2,2.519136492370899,0.7482016711681351,1.620011129616298,0.7193765681803301,3.078118724347396,0.6788396751506436,1.174205538095995,0.6619945225831441,-1.7103074489868852,0.629565025994753,0.8138844794013682,0.6288097615558141,1.2381004537495226,0.5973057909994597,3.7409846901280055,0.5607684809371984,0.8252772913018784,0.5968636984281595,3.5818385120236638,0.6142771996087155,-27.041641601761544,0.6916772619563801,-28.00614024223461,0.7562261851107702,-25.47876959725587,0.7141095970628341,-28.10720743406649,0.6743472630492325,-30.485947963854297,0.5757957709880647,-29.645122680287244,0.5922416640220003,-23.31164282305331,0.5929327056353243,-23.831958422876472,0.6193641481420842,-23.269528103444333,0.7772152258042697,-24.93161613995817,0.7390284556346541,-27.074025791796437,0.6288609430511936,-29.644748834642535,0.5708577867118325,-30.1789915213931,0.6844956472753264,-28.927239666891325,0.7383731358294652,-30.354107002940044,0.7688260681741239,-31.97776242918291,0.7022704998397102,-26.3163781280847,0.6191842494702524,-24.726479796777287,0.589998428914924,-29.87378368877702,0.7864282404265396,-29.09781597144789,0.701714685650318
3,1.0960966634712062,0.7069665452403948,1.2671392726233126,0.6542289464966762,2.9984967267205693,0.6005015641228761,0.39601144052955917,0.5778335650445884,-2.414780417872251,0.5511842225759184,0.7137798083303366,0.5626608240089166,2.3350533225854218,0.520720398736027,3.738171331752106,0.4934937975171669,1.128676433064653,0.5222680032395463,3.6104547158008824,0.5147332603317724,-27.379096056794047,0.6210957306393715,-27.784981647600734,0.6675668381300423,-25.58218576767787,0.6108456598572446,-28.761507000727384,0.6157833452521272,-30.40730213681417,0.500014552860066,-29.325705900500736,0.5162288720933205,-23.432954980457794,0.5195677348045987,-24.415161264134372,0.5456088035857992,-23.828157712158696,0.6796258790535736,-25.53521413004511,0.6330495097410341,-27.414975955737155,0.5430699712919582,-29.15574810273616,0.5085585299194413,-29.806513298021702,0.5941359139767016,-29.021988315284183,0.6459111289238979,-30.272641413848135,0.6741400953553894,-32.90222095384123,0.6043770150564951,-26.385909709420318,0.5380272264218474,-24.55842703234534,0.5247145944449705,-30.210083132037834,0.6828597549167136,-29.67279216023662,0.6237451662455049
4,1.013179972587384,0.6152829086483683,1.506496413591158,0.6110836839447703,2.5773190436882025,0.5418385471193724,0.18975212444388845,0.522417085030786,-1.7442770344140968,0.4967649040768592,0.6011534106269263,0.5152976085493084,2.9875165767934195,0.47219628527006974,3.802271352193193,0.4427873767809304,1.6794840626438692,0.46618324681907,3.835528575722414,0.4632446168518496,-26.883716789862063,0.6027503823166673,-27.84867578464646,0.6093150601903475,-25.650622916748745,0.5376595882762865,-28.211097649198837,0.5457872854399929,-29.62039944584472,0.45127275057660193,-28.83529846114751,0.45645739257239837,-23.632102434896662,0.46134332404489464,-24.303549014172727,0.48183311287543906,-24.452711931916753,0.6192476464020634,-25.707890508874403,0.5724440636914363,-27.87277750449082,0.4911630742300791,-29.131839170352194,0.459527514134627,-30.33225098803617,0.5303897079717643,-29.593042289995505,0.5801142200094399,-30.449925641818567,0.5955779826212847,-32.26352341517202,0.5715884343045031,-26.511702906600952,0.48435891731394787,-25.144168546513615,0.4805156168403666,-30.768111449800738,0.6014216125169208,-30.2917011208885,0.5671997124592171
5,1.2587515655953414,0.5765101052748225,1.155444494511869,0.5536705276281693,1.949230694948744,0.4944909926691851,0.19098587963375202,0.4824417451122916,-1.5117571352828492,0.46474924993856437,0.6996791749624567,0.467039232466849,3.2295558808370313,0.431121507773381,4.252256391170015,0.40594267423882996,2.1367114164204697,0.4214112331942676,4.042815642612558,0.4172599941007244,-27.07043882010891,0.5492347283908366,-27.41893939452952,0.5724902031700565,-25.649009457010443,0.494663406365013,-27.703453123732366,0.5005665467942687,-29.360632026270356,0.4144967092825957,-28.586307238301817,0.41684396167366516,-23.837840184995976,0.42359880867670147,-24.499735813419043,0.4400941197540005,-24.60618639970322,0.5582751753344617,-25.764232509140946,0.5325662613155635,-27.966878208000463,0.44964986390425216,-29.118074310152313,0.42711593347689375,-30.431309820575834,0.4968059312123748,-29.766805625352333,0.5347823123270515,-30.370947821058884,0.5435397787214129,-31.968173453655822,0.5263367757163853,-26.504170626221097,0.44809526096419705,-25.35194895321651,0.4413017683547268,-31.20894063923291,0.5472284294550133,-30.57725831790077,0.5149006862952744
6,1.1284452712860755,0.5233693492833251,0.7655018865069358,0.5142339300622566,1.292669122815676,0.4586228163937238,0.7047321116823646,0.44666515343003094,-1.170205656400558,0.43523761586662457,0.07659406471692165,0.42452949624169173,3.350892981572251,0.3945255328763678,4.39469525833235,0.38324329075188707,2.4449415652927353,0.39383840261534764,3.4484393732326417,0.39538422695451375,-27.102876730750847,0.5261336830980445,-27.662061147300996,0.524157590593088,-26.33178359954666,0.47300137093131456,-27.50233151335362,0.4617230091399219,-29.077761902293265,0.382621731907391,-28.83277126858129,0.3880323161508967,-24.046600787681932,0.39721296563951136,-24.314224217737436,0.40538095555081316,-25.163186868130182,0.5174284399412077,-25.678854812963724,0.5023500329733778,-27.913143931385463,0.4192451063697939,-29.016652187470157,0.3966598954251296,-30.392256060827545,0.4703057317572908,-29.703192983864415,0.49640793412368256,-31.111024877499506,0.5001796817190898,-31.709997483947564,0.4953207952334899,-26.40458227382842,0.4160614195136767,-25.569829749460474,0.4082833854993295,-31.03285909961952,0.5102513229767306,-30.77169241913437,0.4854775849528509
