,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG
,POCE_111,POCE_111,POCE_32,POCE_32,POCE_69,POCE_69,POCE_84,POCE_84,POCE_9,POCE_9,POCG_115,POCG_115,POCG_22,POCG_22,POCG_5,POCG_5,POCG_62,POCG_62,POCG_95,POCG_95,POEG_1,POEG_1,POEG_104,POEG_104,POEG_18,POEG_18,POEG_47,POEG_47,POEG_71,POEG_71
,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,5.382559443777873,0.05288012326547499,5.262077243617761,0.05261522798959479,5.521394455106096,0.05489183767553983,5.50147843695783,0.07056637240923455,5.398507765366894,0.08257626683934223,5.73804713404595,0.08654945668940826,5.90274411815637,0.05937785006728113,5.920822168347755,0.08942013925161804,5.603447096512462,0.0910900704096376,5.794906995404024,0.07182076791789024,7.022980256786589,0.13151142361641077,7.585702586301138,0.1428581405285598,7.033684719460991,0.10229762084052967,7.081821612989551,0.12525215354773386,7.024924527699468,0.10910930575642684
0.05,9.969301296066428,0.0712589214648505,9.753661048696738,0.10372400114813063,10.11062078156932,0.07041676054277955,10.272509243189344,0.08777368998200935,9.86377220280985,0.10663555865724893,10.520534977291245,0.1128152034263623,10.926127531840327,0.08535745717823245,10.659278716149764,0.11878937435427969,9.798597017140182,0.13295048663262635,10.750174636623628,0.10546093334303785,12.146734245597678,0.20201360400823082,13.883689692332883,0.18641819497915083,12.73992686075337,0.15275647863095604,11.986422835287453,0.15690788321361065,12.63184698220864,0.20235427511054052
0.075,14.249084638009732,0.0858940399834243,13.26636952412571,0.12779988045077176,14.050361892620415,0.08174829533828037,14.345749376674936,0.09559866059940508,14.205673968631904,0.11756632938289141,14.59663205062316,0.12519387963303272,15.478188156954303,0.16100189604865126,14.637394374831182,0.13055082590253836,13.148551147356192,0.15119414980665113,14.735792806594185,0.150688525274637,16.057939239456672,0.22027970759405321,18.1621916142893,0.2599667892117584,17.009132012113106,0.20975614909876605,15.864936552425027,0.16774077714607866,17.17339216399869,0.24526588537795208
0.1,18.206289221232996,0.0959498334522225,16.384530502603948,0.1351557355621403,17.46024795097821,0.0891119593756368,17.960842388031153,0.100658048394294,18.023557243305106,0.12363640726886627,18.061178977491593,0.13101921009981624,19.00807287145062,0.2053846363880009,18.29869866705675,0.1457091658580912,16.174432319652446,0.17097031640820415,18.07464405966396,0.17720452246122526,19.200616447017143,0.23115356551648533,21.483778333194152,0.2670089543248585,20.382089765656378,0.22860466266326473,18.95030442192507,0.17781726717308036,20.604057456483016,0.2698985571593669
0.125,21.678818233612517,0.10565717083048104,19.600902737784217,0.1447676848818077,20.29664092744892,0.09886217392648587,21.252077757681146,0.11008978180468508,21.24235951591729,0.12676447671861515,21.075621448529763,0.13478943402863214,21.738297624659932,0.21414114938209428,21.434981115473896,0.15465936249051282,18.642238586664906,0.17711083869379163,21.209693194932406,0.189331090130744,21.8618810434632,0.23547308504336,24.11056188889993,0.26914885938938693,23.20699735330992,0.237021249707176,21.66607626892678,0.18186015691971152,23.32859578493105,0.28552261349625235
0.15,24.646561411990632,0.1127336184071754,22.01174100414605,0.15251719085728943,22.764984533857056,0.11458183357227678,24.035153440265052,0.11323072858152591,24.036351860657035,0.12845697158184197,23.307571227797027,0.1406456326454334,24.08249556146739,0.21738095180168152,23.742044751184654,0.16751272910183612,20.949384688932412,0.18173920952863476,23.82183901070917,0.1912721506985095,24.260662903065665,0.2375571573996213,26.327389050471005,0.27060033538910067,25.6679958431267,0.23932768485261535,23.849220793376766,0.18754541225792554,25.60452896185653,0.28995637821165343
0.175,27.14277718524127,0.11983633375467584,23.925206450119784,0.16227031085481342,24.819825621513676,0.14305054555610494,26.46141699463951,0.11771725121047695,26.48424212484678,0.13130245863636103,25.066512387404188,0.1457378865382097,26.28969475858115,0.22178043300538974,25.51692762007842,0.1772130643398793,23.298504309053197,0.1880224508617751,26.087579718322676,0.19286084016012103,26.38441736776494,0.24092720011543822,28.590081710417255,0.2740120787582846,27.83427862643395,0.24226976220982221,25.564437679155258,0.19285735591019923,27.501927349157693,0.293478040493812
0.2,28.82526095364634,0.13192187129231517,25.743866220790597,0.16858273443502306,26.263734607149676,0.15958509108567487,28.38672614541219,0.12525085276753742,28.56161213620604,0.13806997713044064,26.520800937589293,0.15118501098804155,27.942984846464988,0.22410360509719673,27.09251337346501,0.18609169589699756,25.005615976145172,0.19346383188782443,27.886830858992326,0.19566528076793394,27.591940524802432,0.24987642726469705,30.39151292568163,0.27765764850177926,29.583581874304304,0.24417229051672784,26.882104000707244,0.19745751588728522,28.856392149506686,0.29539099736004004
