,,0
PC_to_PE,POCE_90,#0072B2
PC_to_PE,POCE_40,#D55E00
PC_to_PE,POCE_18,#CC79A7
PC_to_PE,POCE_56,#009E73
PC_to_PE,POCE_1,#E69F00
PC_to_PG,POCG_48,#0072B2
PC_to_PG,POCG_99,#D55E00
PC_to_PG,POCG_64,#CC79A7
PC_to_PG,POCG_5,#009E73
PC_to_PG,POCG_26,#E69F00
PG_to_PE,POGE_72,#0072B2
PG_to_PE,POGE_10,#D55E00
PG_to_PE,POGE_32,#CC79A7
PG_to_PE,POGE_117,#009E73
PG_to_PE,POGE_102,#E69F00
