,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PE,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PG_to_PE,PG_to_PE,PG_to_PE,PG_to_PE,PG_to_PE,PG_to_PE,PG_to_PE,PG_to_PE,PG_to_PE,PG_to_PE
,POCE_1,POCE_1,POCE_18,POCE_18,POCE_40,POCE_40,POCE_56,POCE_56,POCE_90,POCE_90,POCG_26,POCG_26,POCG_48,POCG_48,POCG_5,POCG_5,POCG_64,POCG_64,POCG_99,POCG_99,POGE_10,POGE_10,POGE_102,POGE_102,POGE_117,POGE_117,POGE_32,POGE_32,POGE_72,POGE_72
,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors,f,errors
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,5.590461593594434,0.06681915477559609,5.313653073939689,0.1211522831542831,5.990009466762305,0.0789224438476689,5.599945427247855,0.104483620980351,5.336456400114466,0.044259411368625774,5.722853596331854,0.05967464645248449,5.992470172823673,0.07033029010148809,5.686935674314241,0.06452815204118915,5.849308277479146,0.060848972027867744,5.478510598897482,0.047754295360749176,7.166847453995302,0.05324089987822688,6.647205502066301,0.05794746953233656,7.040380070545501,0.044050548088686546,6.87465970087917,0.05644445224152081,7.54067445805415,0.061239365692108645
0.05,10.0655983627898,0.0812830212878392,9.87256008378145,0.13133023451470516,11.064442473555548,0.101850647840457,10.487522771953149,0.12197171444760395,9.985334821883892,0.05965796390195207,10.614488643156612,0.10703009040182943,10.977281116826198,0.11608429189869122,10.318445826948533,0.08833206421730262,10.838740667880788,0.08482505212634121,10.3234556843752,0.06753635821012831,13.609028518867119,0.06798124698573825,12.703591915705381,0.07460283221202196,13.452656651007326,0.05733689193300928,13.14803636605604,0.08005957733630346,14.145699326211806,0.06975939580180397
0.075,14.414793085843776,0.09387152535753207,13.979029392542676,0.1359368020214873,15.261742100422133,0.11881751611108202,14.779956019293472,0.1441884203859178,14.075268056988257,0.07422568221341273,14.760699034908335,0.1483249015767986,14.831304323455019,0.14575761017456693,14.497485493113537,0.10437556833575191,15.148109895109133,0.10160605032636871,14.618589512918255,0.10300765921881526,19.32871377329068,0.08854618925710084,18.58655320260908,0.08888409230955656,19.56385874802875,0.07389316164499965,18.643753390627197,0.10330474557616665,20.314704425753483,0.0770938297418489
0.1,18.24525841161726,0.10674558579673571,17.714677585116302,0.1412902874066343,18.77947223076446,0.1318551018741101,18.27412601090955,0.18599800247519904,17.649307915829674,0.07971179182504885,17.806779998255248,0.16747027355863228,18.16037028067127,0.15461084544903317,18.026256311658436,0.1158187193468773,18.793900781634242,0.12375170116471283,18.26956607151445,0.1079354825007927,24.604922847279518,0.1040563293432691,23.95340100826403,0.10396287571615817,25.269248866279778,0.09034983922574837,23.550500035839228,0.11237604000903204,26.035691027301297,0.0852365060266691
0.125,21.184822053294713,0.15054791634596015,21.082659007387708,0.14572801207154748,21.85726012341978,0.14040387949577282,21.404509068174278,0.19881735985435903,20.914527364567327,0.0848659813616759,20.351762454537827,0.17327577137428185,21.085287943176255,0.1663227217660808,20.79270566923781,0.13189342609426596,21.795759138479063,0.13356057403944765,21.507631971231636,0.11453721575356868,29.606706769213748,0.12208080329515557,28.447964025035557,0.13138516597547428,30.30362653154741,0.11196598572912597,28.033861677605216,0.15125943281070647,31.23767049994313,0.09411630191206875
0.15,23.622949139075935,0.15872837831703676,24.01709504936361,0.15089295029195648,24.625695804783742,0.1456544344712212,24.214036176835638,0.20471801570622522,23.785549620487146,0.09653069848651355,22.561147580399325,0.17678622398005361,23.441160542364187,0.17263880959452077,23.25874112667889,0.1406342829891651,24.209150994235127,0.13604874174255333,23.839433854006945,0.1270280023898351,33.91991767035269,0.14921060606231132,32.18305922245964,0.14927155138341694,34.56869720719903,0.1208290098159174,32.18440853343642,0.17041765530013894,36.14369210271385,0.10361786421757507
0.175,25.847209117309344,0.16294294547805868,26.653120346848738,0.15903468200358128,26.978486820463083,0.14978240522676897,26.343319970022016,0.20826250300272456,26.023575369907896,0.10463560253180798,24.535565722014983,0.17866152150154577,25.317194153536047,0.1866702605713078,25.451023755499634,0.14653665324482162,26.209952270825518,0.14042399737649836,25.471167535604646,0.13609739200002538,37.588364070808225,0.17146818403741607,35.08495765663833,0.16216171264041188,38.491998323156885,0.1274534901052694,35.71101014843846,0.17824187227651503,40.540735751869484,0.1090261855593565
0.2,27.622239026636514,0.16702293017881345,28.66017593963516,0.16409267324467594,28.513235799339466,0.15418452422453174,27.98464900948897,0.21081411995049565,27.76562526971622,0.11293434664382425,26.28138282245704,0.18296025638579694,26.417330453436357,0.2132714798192919,27.161314958867493,0.14905336579950543,27.29717559198744,0.16129671345437152,26.873273742094725,0.14901839407800638,40.67137316541735,0.18367932362792064,37.64673544876334,0.17022178127483212,41.466026515395654,0.13881713399677328,38.65024046094459,0.1820107334779693,44.029050440400205,0.11782777054523759
