Frame         Time          Elec          VdW           Nonbond       Total         
107           107000        -0.7716       -0.0642       -0.8358       -0.8358       
108           108000        -1.8739       -0.0526       -1.9265       -1.9265       
109           109000        -1.4085       -0.0768       -1.4853       -1.4853       
110           110000        -1.6055       -0.0705       -1.676        -1.676        
111           111000        -1.9813       -0.0759       -2.0572       -2.0572       
112           112000        -0.4946       -0.0766       -0.5712       -0.5712       
113           113000        -1.3539       -0.0688       -1.4227       -1.4227       
114           114000        -1.964        -0.0733       -2.0373       -2.0373       
115           115000        -0.797        -0.0705       -0.8675       -0.8675       
116           116000        -1.1272       -0.0584       -1.1856       -1.1856       
117           117000        -1.4739       -0.0813       -1.5552       -1.5552       
118           118000        -1.0097       -0.077        -1.0867       -1.0867       
119           119000        -0.6359       -0.0512       -0.6871       -0.6871       
120           120000        -0.9698       -0.0744       -1.0442       -1.0442       
121           121000        -2.9667       -0.0718       -3.0385       -3.0385       
122           122000        -1.2211       -0.0646       -1.2857       -1.2857       
123           123000        -0.5135       -0.046        -0.5595       -0.5595       
124           124000        -0.7167       -0.0666       -0.7833       -0.7833       
125           125000        -0.6815       -0.0381       -0.7196       -0.7196       
126           126000        -1.1237       -0.0572       -1.1809       -1.1809       
127           127000        -1.0385       -0.0555       -1.094        -1.094        
128           128000        -1.2706       -0.0532       -1.3238       -1.3238       
129           129000        -1.7635       -0.0964       -1.8599       -1.8599       
130           130000        -1.3689       -0.0794       -1.4483       -1.4483       
131           131000        -0.968        -0.0573       -1.0253       -1.0253       
132           132000        -0.7556       -0.0796       -0.8352       -0.8352       
133           133000        -1.0297       -0.0842       -1.1139       -1.1139       
134           134000        -0.6992       -0.0691       -0.7683       -0.7683       
135           135000        -0.813        -0.0986       -0.9116       -0.9116       
136           136000        -1.8341       -0.0869       -1.921        -1.921        
137           137000        -0.798        -0.1126       -0.9106       -0.9106       
138           138000        -2.1401       -0.1026       -2.2427       -2.2427       
139           139000        -0.4159       -0.0837       -0.4996       -0.4996       
140           140000        -2.5369       -0.081        -2.6179       -2.6179       
141           141000        -2.6501       -0.0675       -2.7176       -2.7176       
142           142000        -3.7999       -0.0731       -3.873        -3.873        
143           143000        -3.6371       -0.062        -3.6991       -3.6991       
144           144000        -2.7447       -0.0551       -2.7998       -2.7998       
145           145000        -2.5734       -0.0617       -2.6351       -2.6351       
146           146000        -4.3331       -0.0721       -4.4052       -4.4052       
147           147000        -3.064        -0.0617       -3.1257       -3.1257       
148           148000        -2.687        -0.0738       -2.7608       -2.7608       
149           149000        -2.443        -0.0711       -2.5141       -2.5141       
150           150000        -3.4378       -0.0654       -3.5032       -3.5032       
151           151000        -2.4914       -0.0751       -2.5665       -2.5665       
152           152000        -2.2969       -0.0539       -2.3508       -2.3508       
153           153000        -3.1137       -0.0473       -3.161        -3.161        
154           154000        -2.5371       -0.0716       -2.6087       -2.6087       
155           155000        -5.1625       -0.079        -5.2415       -5.2415       
156           156000        -3.2286       -0.0628       -3.2914       -3.2914       
157           157000        -1.8656       -0.05         -1.9156       -1.9156       
158           158000        -2.8642       -0.0651       -2.9293       -2.9293       
159           159000        -2.3476       -0.0399       -2.3875       -2.3875       
160           160000        -2.1639       -0.0831       -2.247        -2.247        
161           161000        -1.8405       -0.0726       -1.9131       -1.9131       
162           162000        -1.9316       -0.0795       -2.0111       -2.0111       
163           163000        -2.0895       -0.0792       -2.1687       -2.1687       
164           164000        -3.7048       -0.0906       -3.7954       -3.7954       
165           165000        -3.0052       -0.0737       -3.0789       -3.0789       
166           166000        -1.814        -0.0738       -1.8878       -1.8878       
