,PE_to_PC,PE_to_PC,PE_to_PC,PE_to_PC,PC_to_PG,PC_to_PG,PC_to_PG,PC_to_PG,PE_to_PG,PE_to_PG,PE_to_PG,PE_to_PG
,,,,,,,,,,,,
,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error,forward,forward_error,backward,backward_error
0,6.440782239725368,0.9675727889884451,1.856291698833596,0.862369943908242,-32.06035899532826,0.7012212931839529,-35.139251251329924,0.7247706302490938,-35.42014759498352,0.7935600251806243,-37.457833904511816,0.7593086776617387
1,5.911736867254207,0.6818223882697649,2.739447290817114,0.682712472459612,-31.835361153323035,0.5505921310490787,-34.525061706959036,0.5510919242339,-38.15339861569156,0.601614363184012,-37.176036686177426,0.6148318967777359
2,5.40406818052937,0.5681910305597078,2.8272139062636255,0.5664515824404489,-31.94560281328486,0.44856570657374073,-34.62118601751121,0.4574283951736499,-37.78223481720581,0.5204456837682364,-36.26609551073517,0.5185571770288072
3,5.307042374073729,0.49535887185978744,2.9090270192007726,0.5217795261758256,-32.67227576607774,0.39519035949396925,-34.39545745676807,0.40656934153063096,-36.78519594161987,0.47762984658732455,-36.228105724745376,0.45862322144973816
4,5.009839370391328,0.4403755923614422,3.203802992260296,0.4680127138883262,-32.56315143448012,0.3537998689821542,-34.28095438882478,0.3600426369274977,-37.11478638013552,0.43081673657790454,-36.732598149419985,0.4098794485610579
5,4.929891151263406,0.4107137501715676,3.5541967129825953,0.4241254467371869,-32.81930390670696,0.32650728211906116,-33.99182432154786,0.32644340828210944,-37.44003876060303,0.3888191337852182,-36.83933827878731,0.37985172021368446
6,4.782651585220533,0.38501829583888464,3.6446785987966193,0.3927015437830441,-33.01869802111907,0.30701752694493806,-34.004853413326614,0.3055560933130519,-37.01350438515517,0.3595237644645816,-36.467464960727895,0.3563976662319858
7,4.594303046678269,0.36220914752069977,3.707842782015574,0.36568814247876086,-33.1298147333158,0.2873336098596514,-33.824803377854366,0.2871230169743563,-36.719432825407,0.33703453791247817,-36.6592837231611,0.3364942782932294
8,4.3512533840742105,0.34555605413356244,3.8874053701685507,0.34387378792936557,-33.33692795079204,0.2732320416214531,-33.49157188133142,0.2727347493584679,-36.82935942393382,0.3210279047755775,-37.00491909383553,0.3171450297142604
9,4.124889159754238,0.33322980415281744,4.124889159754238,0.33322980415281744,-33.47789930298793,0.26300516675159086,-33.47789930298793,0.26300516675159086,-36.86624516882246,0.30629745124602514,-36.86624516882246,0.30629745124602514
