,PE_to_PC,PE_to_PC,PC_to_PG,PC_to_PG,PE_to_PG,PE_to_PG
,,,,,,
,f,errors,f,errors,f,errors
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008333,3.455159181351178,0.07341720326502078,2.830745214863721,0.04759974793824854,3.3368366187190497,0.022092952290742148
0.016667,6.572009028530931,0.13735994177493382,5.578370710940968,0.05736954429812534,6.84474884602025,0.049731490823095977
0.025,9.725941608682135,0.18094757193586058,8.067432395197729,0.07709172076994712,10.096669025317619,0.0901676064106676
0.033333,12.669554122963564,0.19446506832527297,10.162589972276345,0.09305500264450117,13.032917793164419,0.12445990238342534
0.041667,15.40033916369848,0.20918762265686233,12.223454010187284,0.09897954281071873,15.701810579746596,0.15500055246569375
0.05,17.839717626846774,0.23345706437105598,14.186659856748467,0.10312363909264574,17.60932058159614,0.15859786437525833
0.058333,19.78985511864503,0.24077225517523373,15.990220508961507,0.10533955569351833,19.392160622151724,0.16040903016570815
0.066667,21.449753037986746,0.24687579960457648,17.598830978436265,0.10616513069707173,21.17711330284785,0.16970682957075445
0.075,23.138661930191788,0.2530477687650424,19.21120338736383,0.10689543030940661,22.717487210543933,0.17285668914307994
0.083333,24.72719549667616,0.25671960891476325,20.838251296862403,0.10881352821450402,24.152559088019746,0.17411612778689994
0.091667,26.21137828941219,0.2569949187363806,22.494610023574964,0.11172550267710596,25.612609865902254,0.1760917672690315
0.1,27.50846793317448,0.2570872156093874,23.906369847897132,0.11265872701499102,26.73898291217191,0.18051926778246732
0.108333,28.800310399822393,0.25724734670195104,25.281013625084512,0.11314439462804791,27.801090795398306,0.18168599273416652
0.116667,30.12184427543658,0.25785437329812816,26.65136530390251,0.11354434432820834,28.94690719124362,0.18231006990461107
0.125,31.251084529350166,0.2584313423921756,27.903909173532153,0.11439940336296939,30.115119570641912,0.18307697253171545
0.133333,32.227008801058965,0.2594315306911797,29.25639157465648,0.12277212015688764,31.271220015291156,0.1835520959276281
0.141667,33.34548915391771,0.2605354606185655,30.339588647391736,0.1241123656827974,32.451743487029894,0.18411784638550946
0.15,34.287444864200644,0.26082632871632305,31.114910666350184,0.12498244511112876,33.30464189909044,0.18580737275479076
0.158333,35.276686288937334,0.26119135448443986,31.805535146137125,0.12629491568437495,34.171891449206726,0.1869990012366617
