frame cylLigand relX relY relZ cyl20 cyl25 cyl30 cyl46 cyl6 distToBindingSiteCOM absX absY absZ
10 4.91046979645800e-01 6.13214278220741e+00 -3.13009677843545e-01 -1.62799603691077e+00 1.39361090302334e+01 7.70871969365286e+00 1.65627090504976e+01 1.91405598425469e+01 1.11015054420683e+01 6.35228472724572e+00 2.62377488035256e+01 -1.86793016758033e+00 7.08968887193403e+00 
11 6.23637432131789e-01 6.10995208377386e+00 -4.84996623676206e-01 -2.65632488194516e+00 1.36249317992338e+01 7.65219666476828e+00 1.64205495764541e+01 1.92770735560533e+01 1.09635973860451e+01 6.68002979554963e+00 2.64324823616088e+01 -2.52963388645992e+00 6.32151285707771e+00 
12 5.75766014531258e-01 6.22925281782215e+00 -3.39612157060671e-01 -2.43851928710123e+00 1.37968197427219e+01 8.15694231232660e+00 1.69015433254672e+01 1.87867016554266e+01 1.13585545080648e+01 6.69815671652532e+00 2.61562511285447e+01 -2.09837277272627e+00 6.92392264159308e+00 
13 5.39294823370325e-01 6.01478821449519e+00 -4.35247507425381e-01 -2.33680698254299e+00 1.39445802510396e+01 7.79659753784140e+00 1.67903157399696e+01 1.94067758985156e+01 1.07351881478139e+01 6.46744033846559e+00 2.56824641130491e+01 -2.32959337358732e+00 6.74504580459360e+00 
14 6.81569383376951e-01 6.14619112621076e+00 -5.31381656703060e-01 -2.44975874917015e+00 1.41556345053338e+01 7.67330707907457e+00 1.65940453797330e+01 1.92033205498176e+01 1.10737101534682e+01 6.63772172918751e+00 2.62192676021914e+01 -2.60285001070973e+00 6.19131079906656e+00 
15 8.04485722145040e-01 6.33912412618014e+00 -5.48607260591912e-01 -2.98458158306838e+00 1.37025537515875e+01 7.99918287385972e+00 1.64848307025588e+01 2.00217082891271e+01 1.11309406741668e+01 7.02802901527052e+00 2.61006336879665e+01 -2.30010546265500e+00 6.11670169203871e+00 
16 1.89363984306098e-01 5.88523931867115e+00 -1.10028929493418e-01 -2.46598544669882e+00 1.34687907521690e+01 7.03033927421299e+00 1.57498688294927e+01 1.94273886708169e+01 1.11237666698621e+01 6.38194581821944e+00 2.61082382716597e+01 -2.36607885272195e+00 6.44973463884139e+00 
17 2.92782523513032e-01 6.03365236966737e+00 -1.34976087789856e-01 -2.25533053328162e+00 1.34460885490068e+01 7.27669461967721e+00 1.61174881884234e+01 1.92931312142031e+01 1.03021917162976e+01 6.44280181882231e+00 2.58790324156377e+01 -2.16885297886373e+00 6.89840964496136e+00 
18 1.54820326771012e-01 5.75977761193785e+00 -7.19863615337652e-02 -2.45501063716128e+00 1.34647819342013e+01 7.22896119495637e+00 1.59805752502080e+01 1.92758582961685e+01 1.08906284815256e+01 6.26157307741452e+00 2.52055910155243e+01 -2.30774972514516e+00 6.91909088753980e+00 
19 2.36488536674929e-01 6.01749431143114e+00 -6.64338939970109e-02 -2.69624400070656e+00 1.31582896615119e+01 7.29891299708265e+00 1.66814944653710e+01 1.99816757214874e+01 1.06461303518445e+01 6.59426894824012e+00 2.57222487718359e+01 -2.38789531310518e+00 6.70069384976222e+00 
20 5.84419996554353e-01 6.20132201401869e+00 -3.76957592428756e-01 -2.06611693829595e+00 1.36023060431799e+01 7.30674040179162e+00 1.66429586626903e+01 1.94490335376623e+01 1.13830780331986e+01 6.54731478934349e+00 2.59201388039256e+01 -2.27005433649884e+00 7.58599260631190e+00 
21 2.97311977221017e-01 6.08992027939340e+00 -6.32377926223149e-02 -2.18476684176177e+00 1.35871633615675e+01 7.41631441145671e+00 1.71548930322251e+01 1.92712098004382e+01 1.11710600854425e+01 6.47026538718810e+00 2.57614942709257e+01 -1.89721913566532e+00 7.59679538508037e+00 
22 3.27609365437448e-01 6.13973900425271e+00 1.55178166459280e-01 -2.16041876330386e+00 1.32954099623262e+01 6.79520553485458e+00 1.65590875620463e+01 1.94876355543508e+01 1.10288979753334e+01 6.51059786321679e+00 2.59014191326379e+01 -1.78934480646571e+00 7.48977476080457e+00 
23 2.92462235312136e-01 5.98089649985738e+00 -1.77554550135721e-01 -2.18031908752042e+00 1.34769421522365e+01 7.71996300326894e+00 1.75086186486536e+01 1.97392752656052e+01 1.14710369469574e+01 6.36839382291061e+00 2.63408187270699e+01 -2.24475637186501e+00 7.39116617641569e+00 
24 2.06691896702765e-01 5.74145759286192e+00 -1.20602709593434e-01 -2.34634158392061e+00 1.35747767584137e+01 7.43540489330678e+00 1.64336585496717e+01 2.04258186640410e+01 1.17228290862074e+01 6.20356342214925e+00 2.54536447823079e+01 -2.00016408713210e+00 7.30091120881541e+00 
25 2.08277601379824e-01 5.84299599906362e+00 -1.38336211470787e-01 -2.27732466023523e+00 1.37007535368442e+01 7.34657176153905e+00 1.75921543778449e+01 2.00727331120288e+01 9.98920344750361e+00 6.27263475427934e+00 2.51728339844787e+01 -1.76090024865431e+00 7.77601377921292e+00 
26 3.81327601247508e-01 6.17155525883294e+00 -8.70896386315410e-02 -2.83401884119413e+00 1.37643425225311e+01 7.32579696249368e+00 1.69625875843285e+01 2.01303079147884e+01 1.03646496078773e+01 6.79171125050445e+00 2.60797772916891e+01 -2.31888669864757e+00 7.13348904107157e+00 
27 6.27691063639164e-01 6.12335217698654e+00 -4.82482135141661e-01 -2.89491445698616e+00 1.42141911677580e+01 7.25513239828226e+00 1.69384349938861e+01 1.99697477217664e+01 1.10461691557704e+01 6.79034318774862e+00 2.59753804654915e+01 -2.55693637643733e+00 6.91333878559801e+00 
28 3.74465798970580e-01 6.07954263839788e+00 -2.04356957308465e-01 -2.80583694685055e+00 1.41221268705946e+01 7.41362760861344e+00 1.64611251032884e+01 1.99102859873584e+01 1.03016640129486e+01 6.69890449479689e+00 2.55380989030310e+01 -2.07487966416916e+00 6.50669896455213e+00 
29 7.44271401294182e-01 6.55538820910335e+00 2.05086006012530e-01 -2.80385557322075e+00 1.44699482906549e+01 7.59741253688120e+00 1.65301907450068e+01 1.95536173566411e+01 1.05354860698477e+01 7.13279614999577e+00 2.59258897032065e+01 -1.54383495080419e+00 7.24088633716605e+00 
30 4.43306286773624e-01 6.23314718284141e+00 2.38857757988924e-01 -2.80045302905754e+00 1.41622208059976e+01 7.25461877385909e+00 1.72940962127401e+01 1.98279565294869e+01 9.95225503452217e+00 6.83752250449480e+00 2.60263584931950e+01 -1.13379747552961e+00 7.18614969647480e+00 
31 5.32179955600774e-01 6.17355396304262e+00 -3.31941033330415e-01 -2.69981071244186e+00 1.42893699234874e+01 7.30903383710894e+00 1.71059145525707e+01 2.02975037721772e+01 9.63033353992717e+00 6.74625312801287e+00 2.55102656040851e+01 -1.89198158022959e+00 7.20181276945879e+00 
32 6.00703823323161e-01 6.24847464718850e+00 -3.55663446107207e-01 -2.59946295028356e+00 1.41406172541892e+01 7.16190330998463e+00 1.68789895312063e+01 1.99602001137510e+01 1.00860901435630e+01 6.77695650962519e+00 2.58018859713061e+01 -1.41355746202300e+00 6.84738271506154e+00 
33 3.12362101647714e-01 5.78417388810126e+00 3.78898329922654e-01 -3.09489212925302e+00 1.43878350475659e+01 6.61719162887574e+00 1.66961694981786e+01 2.02110546546699e+01 1.03377174575086e+01 6.57104168331954e+00 2.57284729345004e+01 -1.12687564159592e+00 6.58850541423108e+00 
34 4.93592843259735e-01 5.84296207187807e+00 -4.24173608134455e-01 -3.18663870973001e+00 1.41248788753883e+01 7.12827894237585e+00 1.72338193976388e+01 1.97929950588852e+01 9.53343967969328e+00 6.66894259156526e+00 2.53411439387382e+01 -1.28583469927522e+00 6.62556414215104e+00 
35 2.56490705757485e-01 5.74512403567803e+00 -1.75130927401145e-01 -2.88871204825282e+00 1.45572175096350e+01 6.80062115523491e+00 1.66554179864708e+01 1.94417535865668e+01 1.00271081833546e+01 6.43286703770401e+00 2.54130041394619e+01 -1.26852038847867e+00 6.55945442777087e+00 
36 6.62270162149748e-02 5.78625035093744e+00 1.43896846032679e-02 -2.80892661151201e+00 1.43307235279205e+01 6.78918338347213e+00 1.70140881092449e+01 1.99735154528962e+01 9.96850974606407e+00 6.43202681085884e+00 2.54483334368444e+01 -9.13022361748101e-01 6.68437499554871e+00 
37 3.35613161338775e-01 6.06581522249016e+00 3.01410148098250e-01 -2.66727908444348e+00 1.45559547488929e+01 7.03127090002275e+00 1.69509756866084e+01 2.05509729564736e+01 1.00049567343209e+01 6.63319983907312e+00 2.56267791056072e+01 -5.65779350665245e-01 7.43726103592701e+00 
38 4.70323878221173e-01 5.80055955225622e+00 5.38797957650380e-01 -2.82474719492454e+00 1.44710247968273e+01 6.75592191326106e+00 1.66073345190439e+01 1.99749738482689e+01 9.95980184356114e+00 6.47425602472386e+00 2.52583102113928e+01 -4.62707021799311e-01 7.73238356580582e+00 
39 4.00504684505849e-01 6.19375404521980e+00 2.22115186363819e-01 -3.13031545839545e+00 1.49240530854571e+01 6.95641932497698e+00 1.63340598093905e+01 2.08210931761559e+01 1.05259153878266e+01 6.94339968587144e+00 2.53134180729635e+01 -8.67905478865997e-01 7.48165429033378e+00 
40 5.90826066455413e-01 6.22494696928973e+00 -3.64595539993029e-01 -2.66727231224236e+00 1.44341599052280e+01 7.34077046266662e+00 1.72841703925160e+01 2.11294799338595e+01 1.07058670784128e+01 6.78212623488438e+00 2.52588321035270e+01 -1.45687644076421e+00 7.70732673703838e+00 
41 5.22524971844697e-01 6.27837903467587e+00 -1.88367548860358e-01 -2.49806084024996e+00 1.46897722939302e+01 7.12801894822150e+00 1.73110178126387e+01 2.00594241838356e+01 1.01764146226821e+01 6.75972141423828e+00 2.46249435778984e+01 -1.27921786000707e+00 7.58939147605029e+00 
42 2.98996786481076e-01 5.99554311682504e+00 -1.75609127006341e-01 -2.85370528050946e+00 1.47624726491842e+01 7.07316069899135e+00 1.75068087119754e+01 2.08264714967588e+01 1.10646367696947e+01 6.64236476408844e+00 2.48177041304907e+01 -1.64960926822758e+00 6.98856609168340e+00 
43 2.79681377335544e-01 6.04208455205240e+00 -1.05631595058654e-01 -2.45024207482013e+00 1.43118286347913e+01 6.92004819565916e+00 1.75180912409639e+01 2.01453130084191e+01 1.07858177169651e+01 6.52086113893279e+00 2.47963382662477e+01 -6.79219696667293e-01 7.51179123751027e+00 
44 2.98093285809047e-01 6.02938642783637e+00 -1.46677394515349e-01 -2.80099578596978e+00 1.42045398433263e+01 6.86667825996949e+00 1.68206923050876e+01 2.11165561697352e+01 1.09075881483187e+01 6.64985656591626e+00 2.49290258931691e+01 -9.42068561430041e-01 7.29221346407062e+00 
45 7.86892927664085e-01 6.33628119953232e+00 -5.27964352927316e-01 -2.17146250873818e+00 1.39349729395618e+01 6.98404719357304e+00 1.73901295178705e+01 2.10715066333658e+01 1.05396782811509e+01 6.71881352802444e+00 2.50699450553425e+01 -1.37567366870364e+00 7.76133684658749e+00 
46 5.28468148175940e-01 6.02509340416634e+00 -4.19529456669450e-01 -2.45913037975092e+00 1.45548499766212e+01 6.84319126500383e+00 1.69225343226742e+01 2.07159498291666e+01 1.09332529747300e+01 6.52112549477127e+00 2.49241168600770e+01 -1.74863591525862e+00 7.36534227497301e+00 
47 1.58470014695865e-01 5.95284307728215e+00 -2.27379898903822e-02 -2.15560660283384e+00 1.39127855375903e+01 6.56679901631705e+00 1.67428998136123e+01 2.06028733622285e+01 1.09376172077918e+01 6.33115293963992e+00 2.47210228800139e+01 -1.15022640753939e+00 7.83313296757024e+00 
48 2.69927339331416e-01 6.02907850857838e+00 -1.06065345856921e-01 -2.43576323564894e+00 1.43120405895589e+01 6.69523153218095e+00 1.70897432396551e+01 2.06846011846576e+01 1.07681707793019e+01 6.50338220161882e+00 2.42106471118361e+01 -1.63931995349088e+00 7.63948920242742e+00 
49 1.98839865381474e-01 5.64086278365964e+00 1.47296761908370e-01 -3.04642628970621e+00 1.41733585894036e+01 6.28689041795970e+00 1.70493105127181e+01 2.09571400573273e+01 1.13755516980000e+01 6.41262367668322e+00 2.44124160925409e+01 -1.29587448848982e+00 7.21969455704575e+00 
50 4.21668980882722e-01 5.99658650883080e+00 -3.15535919219511e-01 -2.90728588852137e+00 1.39994805062166e+01 6.54438187809848e+00 1.68113309220396e+01 2.09825168066314e+01 1.02184659376747e+01 6.67165076362700e+00 2.44435908992368e+01 -2.00172278284366e+00 7.42108721719825e+00 
51 5.39214789196977e-01 5.97763353554901e+00 -4.47721033545009e-01 -2.65863923506223e+00 1.43230902934919e+01 6.82925777176516e+00 1.69940476965044e+01 2.06540691941660e+01 1.03338117549067e+01 6.55750862686516e+00 2.41266757228716e+01 -2.31919479428305e+00 7.52939507140380e+00 
52 1.90690007098549e-01 5.80989808099739e+00 -1.21151512141055e-01 -3.02017143608773e+00 1.43090020110816e+01 6.45774555354446e+00 1.59227442663525e+01 2.10364811119084e+01 1.09157826357386e+01 6.54912428526375e+00 2.43058760992680e+01 -2.17805342804564e+00 7.13461425169976e+00 
53 5.29719857515343e-01 6.28610180720300e+00 -1.89313131178382e-01 -2.43451887036370e+00 1.45783488206668e+01 6.78194597606922e+00 1.68114257542310e+01 2.08483592336574e+01 9.75999375095872e+00 6.74372282365715e+00 2.50823325795132e+01 -2.33089089007906e+00 8.24699867664734e+00 
54 2.73819151198349e-01 5.77733820050587e+00 -2.00831725652991e-01 -2.93259567723471e+00 1.47653008326587e+01 6.33608177205282e+00 1.73565618347505e+01 2.02234084971131e+01 1.06766883610158e+01 6.48213602689645e+00 2.45077517269307e+01 -2.49276627747442e+00 7.17839906611375e+00 
55 3.05136655487613e-01 5.92493960234938e+00 -2.18795293321487e-01 -3.28760406587693e+00 1.43355019908288e+01 6.69094630979101e+00 1.73294859680906e+01 2.05951976554094e+01 9.85774900126106e+00 6.77946319156895e+00 2.47997749980935e+01 -2.73090460695725e+00 6.77710412112410e+00 
56 4.88090650630639e-01 6.27271993521037e+00 -1.22202267656275e-01 -2.74838321043968e+00 1.46417704740493e+01 6.97332110529103e+00 1.73791278279532e+01 2.09272197966879e+01 9.68698866882310e+00 6.84949334266649e+00 2.52078311230786e+01 -2.86450853145076e+00 7.04016798677320e+00 
57 2.61503120610565e-01 6.02925118799720e+00 -9.25584619206724e-02 -2.92733958836408e+00 1.53843885726022e+01 6.94459579398113e+00 1.73262592625103e+01 2.09540843851646e+01 9.80619338080037e+00 6.70296606156128e+00 2.51004627357635e+01 -2.84041020564536e+00 7.29933857718051e+00 
58 3.24815565156694e-01 5.99685632134210e+00 -2.05743562011137e-01 -2.71784542583290e+00 1.52045181832970e+01 6.59485561915730e+00 1.70061047182058e+01 2.10460796483885e+01 9.98043942056840e+00 6.58720729223322e+00 2.58932921661344e+01 -2.82568182443294e+00 7.65404720320643e+00 
59 1.54186171114062e-01 5.96813137474701e+00 1.22895800180216e-01 -3.05487415614888e+00 1.48655083231167e+01 6.59685833088186e+00 1.68932397807766e+01 2.16166694022266e+01 1.02178398857326e+01 6.70566563391345e+00 2.52821889124932e+01 -2.63792380989227e+00 7.33722334915012e+00 
60 4.57855912460717e-01 5.87689637255254e+00 -3.85708413470335e-01 -3.05927388464776e+00 1.50641813469211e+01 6.64634943703057e+00 1.76692252214984e+01 2.15320584880427e+01 9.86867680042323e+00 6.63670389992132e+00 2.52641535587325e+01 -2.95161252678258e+00 7.70604256349368e+00 
61 3.92928478846585e-01 5.83441796477651e+00 -3.23739541187401e-01 -3.09302528327015e+00 1.43393300938301e+01 7.01297847378468e+00 1.67702409424652e+01 2.08477115179435e+01 9.27219745560364e+00 6.61150857831883e+00 2.49015440587014e+01 -2.64556354183849e+00 7.69723041382437e+00 
62 1.97725111390635e-01 5.95439715422026e+00 -7.92892016760439e-02 -2.99012182076089e+00 1.53334264669200e+01 7.16579649854057e+00 1.64558433648034e+01 2.11814546954552e+01 9.84718173488303e+00 6.66347962784304e+00 2.49888806854745e+01 -2.71879415138758e+00 7.71462067091566e+00 
63 5.41794162379226e-01 5.97652944974408e+00 -4.50737905979282e-01 -3.11756125111076e+00 1.53179226335677e+01 7.18746906689433e+00 1.68348717571750e+01 2.15857202250729e+01 9.70790024607072e+00 6.75583133877483e+00 2.51671469813927e+01 -3.12619532374961e+00 7.74458375734225e+00 
64 4.50541178881423e-01 5.87254637203284e+00 -3.78839141604492e-01 -3.16447851885195e+00 1.55930041540414e+01 6.71535332660130e+00 1.73279365883507e+01 2.18531977618489e+01 1.00665190129701e+01 6.68163485107972e+00 2.49579709211188e+01 -3.18980934266010e+00 7.17804062698904e+00 
65 5.68206189714536e-01 5.98018216102364e+00 -4.77179922436613e-01 -3.05244553833206e+00 1.51309182192136e+01 7.10167340975661e+00 1.77410313663478e+01 2.16871475108118e+01 9.86166085967783e+00 6.73109969632640e+00 2.52671457923845e+01 -3.17621513002229e+00 7.45717447222390e+00 
66 2.83165702397341e-01 5.88992052944423e+00 -2.06261655314271e-01 -3.17680755163057e+00 1.58670131881703e+01 7.10756616053920e+00 1.72381538235935e+01 2.06530394047647e+01 1.05283503320645e+01 6.69520828157859e+00 2.53678487803188e+01 -2.75273797613932e+00 7.29477577284964e+00 
67 2.36652281126005e-01 5.86685111013102e+00 -1.63635274027372e-01 -3.16191306453871e+00 1.57680488390212e+01 6.41462993167961e+00 1.71215974175685e+01 2.16293825903749e+01 1.18436440233769e+01 6.66666428426182e+00 2.55104949445633e+01 -3.21459719743110e+00 7.34896144247811e+00 
68 5.44462895044483e-01 6.08547245290683e+00 -4.08338883594100e-01 -3.45237567730012e+00 1.53374335537066e+01 6.60402587260766e+00 1.73134291043555e+01 2.15768362672863e+01 1.06735733053447e+01 7.00846726725296e+00 2.57517093660591e+01 -3.25071388893493e+00 7.01974595540082e+00 
69 3.54785067895866e-01 5.77773591748455e+00 -2.82759230469588e-01 -2.89219327333767e+00 1.54739849362184e+01 6.48219552041865e+00 1.63140923281331e+01 2.15281698635853e+01 1.08299424233114e+01 6.46737713798619e+00 2.52419460415897e+01 -3.41316409957125e+00 7.86989921808125e+00 
70 8.79785562470814e-01 6.11812740210509e+00 -7.59999666930381e-01 -2.86433999122286e+00 1.44728088061464e+01 7.03384835499409e+00 1.71477790785815e+01 2.13435487153929e+01 1.05836800125595e+01 6.79805310272301e+00 2.57511567676155e+01 -3.22759439888552e+00 8.06730121758059e+00 
71 3.70440344449334e-01 5.89267531587382e+00 -2.94912312786846e-01 -3.08715054977536e+00 1.46217304846616e+01 6.53203955664490e+00 1.62612195018510e+01 2.18250373157084e+01 1.07155135328378e+01 6.65891088448556e+00 2.57773447669019e+01 -3.52306321148231e+00 7.49715126236647e+00 
72 1.99169697705549e-01 5.84355973448229e+00 -1.29131157434970e-01 -2.98875921631252e+00 1.45683182818429e+01 6.59104655534616e+00 1.64597146590967e+01 2.15404129423801e+01 1.06049683418844e+01 6.56479602724839e+00 2.54447116420939e+01 -3.12983045276220e+00 7.64768149200693e+00 
73 4.42980804532981e-01 5.60047825955873e+00 -3.13611869290842e-01 -3.17573670776114e+00 1.43322798110429e+01 6.49605152666521e+00 1.66729549248960e+01 2.05449306614972e+01 1.03603784397580e+01 6.44585237011923e+00 2.50860522718803e+01 -3.38945817244196e+00 7.46034422534504e+00 
74 2.09488202464980e-01 5.86792167436683e+00 -1.35716542002182e-01 -2.54659147702243e+00 1.48312969480512e+01 6.88389813519895e+00 1.71260553209617e+01 1.99974014685006e+01 1.05415000964297e+01 6.39812878169238e+00 2.52274985802671e+01 -3.04558426425684e+00 7.56997808395815e+00 
75 5.49120025991617e-01 5.71958523953383e+00 -4.70126390744731e-01 -3.04078291575897e+00 1.40288755549538e+01 7.25079843802202e+00 1.75434197392143e+01 2.04890860568032e+01 1.01607475948009e+01 6.49469282386315e+00 2.47523592704075e+01 -3.24911953026534e+00 7.60947292461607e+00 
