Frame         Time          Elec          VdW           Nonbond       Total         
110           1100          -11.6631      -0.3017       -11.9648      -11.9648      
111           1110          +1.1595       -0.233        +0.9265       +0.9265       
112           1120          +1.082        -0.1937       +0.8883       +0.8883       
113           1130          +1.9063       -0.2429       +1.6634       +1.6634       
114           1140          +10.1102      -0.3007       +9.8095       +9.8095       
115           1150          +7.2454       -0.249        +6.9964       +6.9964       
116           1160          -13.6221      -0.2834       -13.9055      -13.9055      
117           1170          +1.2488       -0.1977       +1.0511       +1.0511       
118           1180          +0.1212       -0.1779       -0.0567       -0.0567       
119           1190          -7.7035       -0.2539       -7.9574       -7.9574       
120           1200          +2.5876       -0.2746       +2.313        +2.313        
121           1210          +0.2906       -0.183        +0.1076       +0.1076       
122           1220          +8.3496       -0.12         +8.2296       +8.2296       
123           1230          +1.4822       -0.3012       +1.181        +1.181        
124           1240          +8.478        -0.2495       +8.2285       +8.2285       
125           1250          +2.9355       -0.2663       +2.6692       +2.6692       
126           1260          -4.9235       -0.2896       -5.2131       -5.2131       
127           1270          +2.2104       -0.2163       +1.9941       +1.9941       
128           1280          +1.6915       -0.279        +1.4125       +1.4125       
129           1290          -1.6531       -0.2553       -1.9084       -1.9084       
130           1300          +3.3706       -0.2136       +3.157        +3.157        
131           1310          +5.2658       -0.2254       +5.0404       +5.0404       
132           1320          +6.7356       -0.2573       +6.4783       +6.4783       
133           1330          +3.7995       -0.2657       +3.5338       +3.5338       
134           1340          -6.6089       -0.346        -6.9549       -6.9549       
135           1350          +2.8029       -0.2579       +2.545        +2.545        
136           1360          -4.855        -0.3025       -5.1575       -5.1575       
137           1370          -10.098       -0.3308       -10.4288      -10.4288      
138           1380          -5.4128       -0.4156       -5.8284       -5.8284       
139           1390          -1.3297       -0.3346       -1.6643       -1.6643       
140           1400          +2.5654       -0.3318       +2.2336       +2.2336       
141           1410          +3.5999       -0.2011       +3.3988       +3.3988       
142           1420          +6.1579       -0.2034       +5.9545       +5.9545       
143           1430          +2.5131       -0.2727       +2.2404       +2.2404       
144           1440          +8.9207       -0.3026       +8.6181       +8.6181       
145           1450          +5.2443       -0.2967       +4.9476       +4.9476       
146           1460          +5.0511       -0.2329       +4.8182       +4.8182       
147           1470          +0.2818       -0.1841       +0.0977       +0.0977       
148           1480          +4.4865       -0.3746       +4.1119       +4.1119       
149           1490          -1.7235       -0.3304       -2.0539       -2.0539       
150           1500          +5.7536       -0.3812       +5.3724       +5.3724       
151           1510          -2.4027       -0.3837       -2.7864       -2.7864       
152           1520          +0.5244       -0.4467       +0.0777       +0.0777       
153           1530          +1.5987       -0.3059       +1.2928       +1.2928       
154           1540          -2.1842       -0.304        -2.4882       -2.4882       
155           1550          -2.0603       -0.2677       -2.328        -2.328        
156           1560          -12.7244      -0.2667       -12.9911      -12.9911      
157           1570          +3.1543       -0.2605       +2.8938       +2.8938       
158           1580          -2.5877       -0.4255       -3.0132       -3.0132       
159           1590          -2.7171       -0.2594       -2.9765       -2.9765       
160           1600          +7.9296       -0.2257       +7.7039       +7.7039       
161           1610          +4.4268       -0.2577       +4.1691       +4.1691       
162           1620          -13.316       -0.3621       -13.6781      -13.6781      
163           1630          +4.8882       -0.2257       +4.6625       +4.6625       
164           1640          +1.5674       -0.2657       +1.3017       +1.3017       
165           1650          +5.5897       -0.3066       +5.2831       +5.2831       
166           1660          -10.3156      -0.2511       -10.5667      -10.5667      
167           1670          +0.855        -0.2568       +0.5982       +0.5982       
168           1680          -8.748        -0.2895       -9.0375       -9.0375       
169           1690          -3.5293       -0.2338       -3.7631       -3.7631       
170           1700          +2.7516       -0.2537       +2.4979       +2.4979       
171           1710          -1.179        -0.3813       -1.5603       -1.5603       
172           1720          -0.1882       -0.3753       -0.5635       -0.5635       
173           1730          +2.1247       -0.3163       +1.8084       +1.8084       
174           1740          -2.9768       -0.3284       -3.3052       -3.3052       
