Frame         Time          Elec          VdW           Nonbond       Total         
107           10700         -2.6318       -0.0659       -2.6977       -2.6977       
108           10800         -2.9926       -0.0566       -3.0492       -3.0492       
109           10900         -4.4175       -0.0379       -4.4554       -4.4554       
110           11000         -2.4381       -0.0766       -2.5147       -2.5147       
111           11100         -2.6686       -0.0469       -2.7155       -2.7155       
112           11200         -3.0403       -0.0368       -3.0771       -3.0771       
113           11300         -2.4712       -0.0407       -2.5119       -2.5119       
114           11400         -2.9517       -0.0335       -2.9852       -2.9852       
115           11500         -3.9554       -0.0795       -4.0349       -4.0349       
116           11600         -1.8905       -0.0565       -1.947        -1.947        
117           11700         -2.4447       -0.0568       -2.5015       -2.5015       
118           11800         -2.8489       -0.0436       -2.8925       -2.8925       
119           11900         -2.0016       -0.0559       -2.0575       -2.0575       
120           12000         -3.8338       -0.0492       -3.883        -3.883        
121           12100         -3.6909       -0.0484       -3.7393       -3.7393       
122           12200         -2.4276       -0.0567       -2.4843       -2.4843       
123           12300         -3.384        -0.038        -3.422        -3.422        
124           12400         -3.4621       -0.0432       -3.5053       -3.5053       
125           12500         -2.7224       -0.0624       -2.7848       -2.7848       
126           12600         -2.0597       -0.038        -2.0977       -2.0977       
127           12700         -2.7776       -0.0476       -2.8252       -2.8252       
128           12800         -4.1952       -0.0528       -4.248        -4.248        
129           12900         -3.9827       -0.035        -4.0177       -4.0177       
130           13000         -4.8983       -0.0705       -4.9688       -4.9688       
131           13100         -3.0121       -0.0787       -3.0908       -3.0908       
132           13200         -4.2346       -0.0668       -4.3014       -4.3014       
133           13300         -4.1711       -0.0458       -4.2169       -4.2169       
134           13400         -4.1891       -0.0372       -4.2263       -4.2263       
135           13500         -3.5933       -0.0855       -3.6788       -3.6788       
136           13600         -4.6321       -0.0539       -4.686        -4.686        
137           13700         -3.057        -0.0705       -3.1275       -3.1275       
138           13800         -3.8684       -0.0682       -3.9366       -3.9366       
139           13900         -4.3858       -0.0656       -4.4514       -4.4514       
140           14000         -2.6248       -0.0564       -2.6812       -2.6812       
141           14100         -3.1529       -0.0591       -3.212        -3.212        
142           14200         -2.9053       -0.1024       -3.0077       -3.0077       
143           14300         -3.0941       -0.1102       -3.2043       -3.2043       
144           14400         -3.1654       -0.0874       -3.2528       -3.2528       
145           14500         -3.0596       -0.0649       -3.1245       -3.1245       
146           14600         -4.6972       -0.076        -4.7732       -4.7732       
147           14700         -3.5862       -0.0807       -3.6669       -3.6669       
148           14800         -2.4158       -0.0687       -2.4845       -2.4845       
149           14900         -3.0603       -0.0552       -3.1155       -3.1155       
150           15000         -3.6583       -0.0559       -3.7142       -3.7142       
151           15100         -3.962        -0.0698       -4.0318       -4.0318       
152           15200         -2.953        -0.0653       -3.0183       -3.0183       
153           15300         -4.2254       -0.0733       -4.2987       -4.2987       
154           15400         -2.9378       -0.0499       -2.9877       -2.9877       
155           15500         -1.646        -0.0491       -1.6951       -1.6951       
156           15600         -3.1855       -0.0848       -3.2703       -3.2703       
157           15700         -3.949        -0.0672       -4.0162       -4.0162       
158           15800         -6.3837       -0.0786       -6.4623       -6.4623       
159           15900         -5.0643       -0.0559       -5.1202       -5.1202       
160           16000         -4.5614       -0.0493       -4.6107       -4.6107       
161           16100         -4.483        -0.0563       -4.5393       -4.5393       
162           16200         -4.6519       -0.082        -4.7339       -4.7339       
163           16300         -3.2289       -0.1028       -3.3317       -3.3317       
164           16400         -3.4068       -0.0944       -3.5012       -3.5012       
