,,0
PC_to_PE,POCE_24,#0072B2
PC_to_PE,POCE_84,#D55E00
PC_to_PE,POCE_48,#CC79A7
PC_to_PE,POCE_120,#009E73
PC_to_PE,POCE_72,#E69F00
PC_to_PG,POCG_96,#0072B2
PC_to_PG,POCG_108,#D55E00
PC_to_PG,POCG_12,#CC79A7
PC_to_PG,POCG_36,#009E73
PC_to_PG,POCG_60,#E69F00
PE_to_PG,POEG_55,#0072B2
PE_to_PG,POEG_7,#D55E00
PE_to_PG,POEG_23,#CC79A7
PE_to_PG,POEG_49,#009E73
PE_to_PG,POEG_19,#E69F00
